time,accX,accY,accZ,pitch,roll,yaw
8.473333,0.014877,0.003555,-0.990860,0.000695,-0.000934,-0.001250
8.576667,0.012909,0.006454,-0.989014,0.000653,0.001490,0.002228
8.680000,0.010971,0.003479,-0.992905,-0.000500,-0.005673,-0.000157
8.783333,0.016846,0.003586,-0.989853,-0.007660,-0.008116,-0.006004
8.886667,0.012817,0.002548,-0.988983,-0.006645,0.000317,0.003322
8.990000,0.012894,0.005493,-0.988998,0.003078,0.003913,0.004565
9.093333,0.012848,0.004517,-0.988037,0.004446,-0.009186,0.000974
9.196667,0.015869,0.007538,-0.986023,-0.002949,0.007484,0.003398
9.300000,0.009811,0.002548,-0.987122,0.002191,-0.008062,-0.005970
9.403333,0.012924,0.004471,-0.991913,0.005765,-0.002038,-0.001277
9.506667,0.016922,0.006485,-0.990845,0.000943,0.003884,-0.003564
9.610000,0.014786,0.002594,-0.987961,-0.000248,0.005062,-0.004717
9.713333,0.018951,0.007492,-0.991760,0.009534,-0.010358,-0.003654
9.816667,0.013763,0.001617,-0.987015,-0.000222,-0.011562,-0.003719
9.920000,0.013824,0.002563,-0.987976,-0.005114,0.002711,-0.003616
10.023333,0.013901,0.005508,-0.992920,0.005498,0.000503,0.011455
10.126667,0.015930,0.006500,-0.989990,0.002183,-0.003187,-0.001323
10.230000,0.013870,0.004517,-0.987961,0.001209,-0.000891,-0.010563
10.333333,0.015762,0.001633,-0.987030,0.003431,0.006357,-0.001237
10.436667,0.012878,0.007492,-0.986038,-0.002505,-0.002035,-0.007131
10.540000,0.016907,0.006500,-0.992828,0.001215,-0.000860,-0.009414
10.643333,0.016846,0.006531,-0.988022,0.001099,-0.006737,-0.003691
10.746667,0.012939,0.006454,-0.986008,0.009465,0.011179,0.002302
10.850000,0.015915,0.007507,-0.988861,0.001160,-0.006758,-0.006005
10.953333,0.011871,0.004501,-0.985977,-0.001275,-0.015063,-0.004945
11.056667,0.017822,0.002594,-0.985947,-0.002654,-0.010252,0.000876
11.160000,0.013809,0.002579,-0.987030,-0.005101,-0.001926,0.000938
11.263333,0.012833,0.003555,-0.987976,-0.000319,-0.000666,0.005596
11.366667,0.013855,0.001556,-0.987976,0.004554,0.006482,0.005688
11.470000,0.016922,0.003525,-0.992920,-0.008789,-0.006650,0.003181
11.573333,0.015808,0.002594,-0.989990,0.002081,0.008869,0.006853
11.676667,0.008865,0.001526,-0.987961,-0.003758,-0.004313,-0.002555
11.780000,0.012848,0.006500,-0.987030,-0.007505,-0.010238,0.000841
11.883333,0.014725,0.004608,-0.986038,-0.003756,-0.006694,-0.002577
11.986667,0.010635,0.003693,-0.992828,0.052904,0.006704,0.022154
12.090000,0.011063,0.004395,-0.988022,-0.016016,-0.004310,-0.000309
12.193333,0.033813,0.084885,-0.986008,0.010974,-0.031270,0.040087
12.296667,-0.022369,0.188141,-0.988861,-0.003446,-0.028576,0.077052
12.400000,-0.042831,0.217514,-0.985977,-0.008422,0.021872,0.261432
12.503333,-0.054672,0.105301,-0.985947,-0.007585,0.013661,0.004518
12.606667,-0.084946,0.061203,-0.987030,-0.050150,0.038126,-0.046400
12.710000,0.123352,0.145676,-0.987976,0.001965,-0.009315,-0.169175
12.813333,0.035721,0.053787,-0.991882,0.066938,0.001425,-0.044927
12.916667,0.084213,0.082581,-0.984024,-0.020822,-0.002755,-0.229402
13.020000,-0.114792,0.110001,-0.996765,0.003279,-0.036207,0.146425
13.123333,-0.016083,0.127945,-0.987976,-0.048761,-0.016566,0.221514
