Start Time,Stop Time,Vel X,Vel Y,Vel Z,Tot Vel X,Total Vel Y,Tot Vel Z,Dist X,Dist Y,Dist Z,Tot Dist X,Total Dist Y,Tot Dist Z,Dist Pitch,Dist Roll,Dist Yaw
0.000000,62.150000,0.540061,-2.144382,-31.291593,8.619670,-62.107370,-508.872874,0.417482,-3.051759,-24.661354,4.612198,-45.271323,-273.638824,-0.026038,0.006976,-0.017593

0.000000,62.150000,0.558401,-2.128358,-32.293540,9.178071,-64.235728,-541.166415,0.444944,-3.158577,-26.250982,5.057141,-48.429900,-299.889806,-0.027114,0.006397,-0.019639

0.000000,62.150000,0.576876,-2.106960,-33.295647,9.754947,-66.342688,-574.462061,0.473325,-3.264460,-27.890712,5.530467,-51.694361,-327.780518,-0.028252,0.005821,-0.022391

0.000000,62.150000,0.594879,-2.081057,-34.297816,10.349826,-68.423745,-608.759878,0.502619,-3.369161,-29.580548,6.033086,-55.063521,-357.361066,-0.029390,0.005257,-0.025614

0.000000,62.150000,0.614323,-2.050857,-35.299860,10.964149,-70.474602,-644.059738,0.532849,-3.472459,-31.320490,6.565936,-58.535980,-388.681557,-0.030586,0.004622,-0.029208

0.000000,62.150000,0.634830,-2.017550,-36.301903,11.598979,-72.492152,-680.361640,0.564078,-3.574169,-33.110534,7.130014,-62.110149,-421.792091,-0.031729,0.004023,-0.032324

0.000000,62.150000,0.654690,-1.983395,-37.303592,12.253669,-74.475547,-717.665232,0.596316,-3.674192,-34.950672,7.726330,-65.784341,-456.742763,-0.032894,0.003246,-0.034621

0.000000,62.150000,0.674905,-1.947522,-38.305501,12.928574,-76.423070,-755.970733,0.629556,-3.772465,-36.840899,8.355886,-69.556807,-493.583662,-0.033934,0.002401,-0.036425

0.000000,62.150000,0.694539,-1.911527,-39.307311,13.623112,-78.334597,-795.278044,0.663792,-3.868942,-38.781219,9.019678,-73.425749,-532.364881,-0.034705,0.001373,-0.037936

0.000000,62.150000,0.711893,-1.876655,-40.309157,14.335006,-80.211252,-835.587201,0.698953,-3.963646,-40.771631,9.718631,-77.389395,-573.136513,-0.035350,0.000250,-0.038943

0.000000,62.150000,0.730238,-1.843703,-41.311033,15.065244,-82.054955,-876.898234,0.735006,-4.056655,-42.812136,10.453637,-81.446050,-615.948648,-0.035800,-0.000860,-0.040142

0.000000,62.150000,0.745672,-1.807005,-42.312750,15.810916,-83.861960,-919.210984,0.771904,-4.147923,-44.902730,11.225541,-85.593973,-660.851379,-0.036393,-0.001732,-0.041290

0.000000,62.150000,0.761139,-1.769613,-43.314628,16.572056,-85.631574,-962.525612,0.809574,-4.237338,-47.043415,12.035116,-89.831311,-707.894794,-0.037159,-0.002528,-0.043685

0.000000,62.150000,0.780524,-1.731320,-44.316636,17.352580,-87.362894,-1006.842247,0.848116,-4.324862,-49.234196,12.883232,-94.156173,-757.128990,-0.037599,-0.003418,-0.046751

0.000000,62.150000,0.798505,-1.695483,-45.318614,18.151084,-89.058376,-1052.160861,0.887592,-4.410532,-51.475078,13.770823,-98.566705,-808.604068,-0.037919,-0.004270,-0.048961

0.000000,62.150000,0.816004,-1.659317,-46.320627,18.967088,-90.717694,-1098.481488,0.927954,-4.494402,-53.766059,14.698777,-103.061106,-862.370127,-0.038313,-0.005039,-0.051263

0.000000,62.150000,0.830784,-1.622439,-47.322643,19.797872,-92.340132,-1145.804131,0.969124,-4.576446,-56.107140,15.667902,-107.637552,-918.477267,-0.038531,-0.005827,-0.053789

0.000000,62.150000,0.847487,-1.586270,-48.324848,20.645359,-93.926402,-1194.128979,1.011081,-4.656663,-58.498328,16.678982,-112.294215,-976.975595,-0.038729,-0.006777,-0.056289

0.000000,62.150000,0.866485,-1.552587,-49.327055,21.511844,-95.478989,-1243.456034,1.053930,-4.735135,-60.939625,17.732912,-117.029350,-1037.915220,-0.039191,-0.007708,-0.058657

0.000000,62.150000,0.884633,-1.522506,-50.329070,22.396477,-97.001495,-1293.785103,1.097708,-4.812012,-63.431028,18.830620,-121.841362,-1101.346249,-0.039617,-0.008603,-0.060087

0.000000,62.150000,0.903537,-1.494385,-51.331243,23.300014,-98.495880,-1345.116346,1.142412,-4.887434,-65.972536,19.973033,-126.728797,-1167.318785,-0.040107,-0.009436,-0.060646

0.000000,62.150000,0.921029,-1.471047,-52.333063,24.221043,-99.966927,-1397.449409,1.188026,-4.961570,-68.564144,21.161059,-131.690367,-1235.882929,-0.040499,-0.010223,-0.060013

0.000000,62.150000,0.938487,-1.450864,-53.334722,25.159530,-101.417791,-1450.784131,1.234514,-5.034618,-71.205839,22.395573,-136.724985,-1307.088767,-0.040971,-0.010948,-0.059411

0.000000,62.150000,0.955458,-1.434621,-54.336317,26.114987,-102.852413,-1505.120448,1.281863,-5.106755,-73.897614,23.677436,-141.831740,-1380.986382,-0.041344,-0.011658,-0.058288

0.000000,62.150000,0.971440,-1.422963,-55.337882,27.086427,-104.275375,-1560.458331,1.330035,-5.178195,-76.639469,25.007472,-147.009935,-1457.625851,-0.041509,-0.012252,-0.057018

0.000000,62.150000,0.987154,-1.414771,-56.339576,28.073582,-105.690146,-1616.797907,1.379000,-5.249138,-79.431406,26.386472,-152.259073,-1537.057257,-0.041525,-0.012810,-0.055577

0.000000,62.150000,1.002703,-1.408085,-57.341077,29.076285,-107.098232,-1674.138984,1.428747,-5.319709,-82.273422,27.815219,-157.578782,-1619.330679,-0.041528,-0.013392,-0.054415

0.000000,62.150000,1.018016,-1.402046,-58.342929,30.094300,-108.500278,-1732.481913,1.479265,-5.389963,-85.165522,29.294483,-162.968745,-1704.496202,-0.041416,-0.013934,-0.053514

0.000000,62.150000,1.033570,-1.395409,-59.344940,31.127871,-109.895687,-1791.826853,1.530554,-5.459899,-88.107719,30.825037,-168.428644,-1792.603921,-0.041223,-0.014466,-0.052688

0.000000,62.150000,1.048897,-1.390576,-60.346954,32.176767,-111.286263,-1852.173807,1.582616,-5.529549,-91.100016,32.407653,-173.958193,-1883.703937,-0.041351,-0.014745,-0.052656

0.000000,62.150000,1.063766,-1.385907,-61.349065,33.240534,-112.672170,-1913.522872,1.635433,-5.598961,-94.142417,34.043086,-179.557154,-1977.846354,-0.041454,-0.015058,-0.052632

