time,accX,accY,accZ,pitch,roll,yaw
3.850000,0.188357,6.532902,642.929780,0.035373,0.020959,66529.587675
3.900000,0.190520,6.533182,652.748581,0.035384,0.021062,66529.587857
3.950000,0.192669,6.533428,662.567994,0.035394,0.021157,66529.587994
4.000000,0.194807,6.533659,672.387858,0.035405,0.021244,66529.588077
4.050000,0.196936,6.533884,682.208477,0.035415,0.021322,66529.588123
4.100000,0.199059,6.534103,692.029490,0.035425,0.021392,66529.588148
4.150000,0.201172,6.534315,701.850737,0.035434,0.021456,66529.588155
4.200000,0.203277,6.534526,711.672174,0.035443,0.021518,66529.588162
4.250000,0.205380,6.534736,721.493599,0.035452,0.021579,66529.588170
4.300000,0.207479,6.534946,731.314931,0.035460,0.021638,66529.588177
4.350000,0.209574,6.535157,741.136088,0.035469,0.021695,66529.588185
4.400000,0.211673,6.535377,750.957069,0.035479,0.021752,66529.588193
4.450000,0.213765,6.535643,760.777928,0.035488,0.021810,66529.588204
4.500000,0.215834,6.536020,770.598706,0.035498,0.021869,66529.588254
4.550000,0.217867,6.536552,780.419396,0.035508,0.021926,66529.588344
4.600000,0.219845,6.537265,790.239695,0.035518,0.021980,66529.588467
4.650000,0.221789,6.538231,800.059664,0.035527,0.022032,66529.588597
4.700000,0.223704,6.539483,809.879323,0.035537,0.022084,66529.588733
4.750000,0.225604,6.541067,819.698435,0.035548,0.022133,66529.588871
4.800000,0.227460,6.543058,829.517202,0.035558,0.022182,66529.589010
4.850000,0.229266,6.545554,839.335623,0.035569,0.022231,66529.589172
4.900000,0.231019,6.548557,849.153698,0.035581,0.022295,66529.589420
4.950000,0.232705,6.552051,858.971428,0.035601,0.022368,66529.589872
5.000000,0.234324,6.555989,868.788812,0.035626,0.022454,66529.590631
5.050000,0.235886,6.560402,878.605851,0.035658,0.022549,66529.591678
5.100000,0.237390,6.565258,888.422544,0.035691,0.022654,66529.593095
5.150000,0.238836,6.570618,898.238891,0.035730,0.022765,66529.594784
5.200000,0.240223,6.576451,908.054893,0.035771,0.022881,66529.596806
5.250000,0.241550,6.582741,917.870549,0.035816,0.023002,66529.599309
5.300000,0.242814,6.589456,927.685860,0.035861,0.023127,66529.602584
5.350000,0.244022,6.596589,937.500825,0.035907,0.023257,66529.606765
5.400000,0.245175,6.604117,947.315445,0.035951,0.023404,66529.611730
5.450000,0.246265,6.611932,957.129718,0.035996,0.023574,66529.617262
5.500000,0.247292,6.619880,966.943647,0.036042,0.023772,66529.623196
5.550000,0.248259,6.627896,976.757391,0.036087,0.024000,66529.629367
5.600000,0.249168,6.635967,986.570583,0.036133,0.024262,66529.635672
5.650000,0.250020,6.644095,996.383503,0.036179,0.024587,66529.642054
5.700000,0.250814,6.652285,1006.196272,0.036226,0.024987,66529.648515
5.750000,0.251552,6.660534,1016.008970,0.036273,0.025455,66529.655055
5.800000,0.252231,6.668843,1025.821886,0.036321,0.025986,66529.661675
5.850000,0.252852,6.677211,1035.634859,0.036368,0.026582,66529.668367
5.900000,0.253417,6.685639,1045.447976,0.036414,0.027243,66529.675133
5.950000,0.253916,6.694089,1055.261301,0.036460,0.027962,66529.681958
6.000000,0.254363,6.702478,1065.074903,0.036504,0.028726,66529.688814
6.050000,0.254778,6.710712,1074.888870,0.036549,0.029543,66529.695613
6.100000,0.255185,6.718746,1084.703248,0.036593,0.030413,66529.702352
6.150000,0.255618,6.726557,1094.518163,0.036638,0.031348,66529.709049
6.200000,0.256037,6.734087,1104.333637,0.036683,0.032341,66529.715761
6.250000,0.256435,6.741317,1114.149550,0.036729,0.033393,66529.722504
6.300000,0.256787,6.748222,1123.966227,0.036774,0.034502,66529.729361
6.350000,0.257139,6.754760,1133.783249,0.036819,0.035656,66529.736276
6.400000,0.257498,6.760887,1143.600719,0.036865,0.036852,66529.743170
6.450000,0.257868,6.766615,1153.418559,0.036912,0.038051,66529.749946
6.500000,0.258283,6.771964,1163.236752,0.036962,0.039262,66529.756509
